epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,64867.5,0.85934,0.43173,0.95606,0.90532,0.93881,0.96908,0.72954,1.00394,0.48866,0.99892,0.000272375,0.000272375,0.000272375
81,65646.9,0.86781,0.44275,0.94514,0.90623,0.93858,0.97063,0.72901,0.99836,0.48425,0.99984,0.00026,0.00026,0.00026
82,66423.7,0.85732,0.43769,0.94349,0.91795,0.93131,0.97404,0.73789,0.98967,0.49245,0.99721,0.000247625,0.000247625,0.000247625
83,67221.6,0.83661,0.42509,0.9382,0.92434,0.92956,0.97254,0.74355,0.97549,0.45819,0.99945,0.00023525,0.00023525,0.00023525
84,68002.8,0.83392,0.42893,0.94364,0.91052,0.9413,0.96947,0.7366,0.98505,0.46352,0.9972,0.000222875,0.000222875,0.000222875
85,68777.9,0.82972,0.41557,0.9337,0.90905,0.93703,0.96783,0.73289,0.98314,0.46635,0.99547,0.0002105,0.0002105,0.0002105
86,69556.2,0.8388,0.42896,0.94015,0.91681,0.94023,0.97021,0.7301,0.99702,0.46351,0.9964,0.000198125,0.000198125,0.000198125
87,70330.3,0.83452,0.43126,0.93971,0.91907,0.93329,0.97118,0.74122,0.97332,0.48041,0.99077,0.00018575,0.00018575,0.00018575
88,71093.2,0.83991,0.42217,0.93642,0.91509,0.93169,0.96881,0.74042,0.96957,0.4643,0.98726,0.000173375,0.000173375,0.000173375
89,71858.1,0.82291,0.41767,0.92901,0.91172,0.9381,0.97021,0.74018,0.97286,0.45851,0.99185,0.000161,0.000161,0.000161
90,72625.4,0.82845,0.41228,0.93128,0.90529,0.93852,0.96896,0.73155,0.99295,0.47066,0.99739,0.000148625,0.000148625,0.000148625
91,73407.2,0.81466,0.39792,0.9294,0.90551,0.94344,0.96616,0.73121,0.97986,0.47599,1.00221,0.00013625,0.00013625,0.00013625
92,74179.7,0.80208,0.3845,0.92106,0.91206,0.93597,0.96705,0.7307,0.9901,0.47046,0.99999,0.000123875,0.000123875,0.000123875
93,74949.4,0.79878,0.38082,0.91819,0.92273,0.9304,0.96711,0.7363,0.96886,0.47027,0.99472,0.0001115,0.0001115,0.0001115
94,75738.5,0.79127,0.37629,0.92332,0.91478,0.9394,0.96652,0.73596,0.96644,0.45139,0.99207,9.9125e-05,9.9125e-05,9.9125e-05
95,76513.8,0.80002,0.38423,0.91573,0.91414,0.94313,0.96563,0.72873,1.0033,0.47248,1.00296,8.675e-05,8.675e-05,8.675e-05
96,77280.9,0.79327,0.37764,0.9155,0.90703,0.93703,0.96619,0.73734,0.97472,0.4612,0.99411,7.4375e-05,7.4375e-05,7.4375e-05
97,78052.2,0.78389,0.37457,0.91224,0.91462,0.92316,0.96715,0.73609,0.98746,0.46331,0.9997,6.2e-05,6.2e-05,6.2e-05
98,78828.5,0.79705,0.3732,0.9206,0.91737,0.92425,0.96797,0.7411,0.97951,0.45811,0.99643,4.9625e-05,4.9625e-05,4.9625e-05
99,79603.3,0.77206,0.36987,0.90373,0.918,0.93191,0.96738,0.73836,0.98752,0.45759,0.99911,3.725e-05,3.725e-05,3.725e-05
100,80367.6,0.77258,0.35967,0.91234,0.91899,0.93063,0.96786,0.74188,0.97573,0.45463,0.99439,2.4875e-05,2.4875e-05,2.4875e-05
